Cust_Id,Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
247,Old,Female,Own,Single,Far,47500,0,High,6,755
127,Middle,Male,Rent,Single,Close,63600,0,High,6,1318
479,Young,Female,Rent,Single,Close,13500,0,Low,18,296
475,Middle,Male,Own,Married,Close,85600,1,High,18,2436
151,Middle,Female,Own,Single,Close,68400,0,High,12,1304
320,Young,Male,Own,Married,Close,30400,0,Low,6,495
804,Middle,Female,Rent,Single,Close,48100,0,Medium,12,782
790,Middle,Male,Own,Single,Close,68400,0,High,18,1155
43,Middle,Female,Own,Married,Close,51900,3,Low,6,158
475,Old,Male,Own,Married,Far,80700,0,NA,18,3034
157,Young,Male,Rent,Married,Close,43700,1,NA,12,927
1239,Middle,Male,Own,Married,Far,111800,3,High,18,2065
562,Middle,Female,Own,Married,Close,44100,1,Medium,24,704
1259,Middle,Male,Own,Married,Close,111400,0,High,12,2136
477,Old,Female,Own,Married,Far,110000,0,High,24,5564
808,Middle,Female,Own,Married,Far,83100,1,NA,12,2766
160,Old,Female,Own,Married,Close,82800,0,High,24,3010
78,Middle,Male,Own,Married,Close,90100,0,High,18,1956
666,Middle,Male,Rent,Single,Close,38600,1,Low,18,542
1250,Old,Female,Rent,Single,Far,14000,0,Low,12,410
1154,Young,Female,Rent,Single,Far,14300,2,Low,6,194
683,Young,Male,Rent,Married,Close,49800,0,Medium,12,827
1221,Old,Female,Rent,Married,Far,60200,0,High,18,2328
949,Young,Male,Rent,Married,Far,43500,1,Medium,12,808
661,Young,Female,Rent,Married,Close,41700,1,NA,6,521
1136,Middle,Female,Own,Married,Close,92300,3,Low,18,655
973,Middle,Male,Own,Single,Close,62800,3,NA,6,707
1240,Middle,Female,Rent,Married,Far,72900,0,High,18,2075
1128,Middle,Female,Rent,Married,Close,66900,2,Medium,12,769
602,Young,Male,Rent,Single,Close,21700,1,NA,18,774
232,Old,Female,Rent,Married,Close,39700,0,Medium,12,573
1013,Middle,Male,Rent,Married,Far,72200,1,High,12,2082
266,Middle,Female,Rent,Married,Close,87700,3,NA,24,2446
921,Middle,Male,Own,Married,Close,104100,0,High,24,2636
331,Middle,Male,Rent,Single,Far,67700,0,High,12,2226
240,Middle,Female,Own,Single,Close,27000,2,Low,6,183
498,Middle,Female,Own,Single,Far,64100,2,High,24,1595
745,Middle,Male,Rent,Single,Close,47000,1,Medium,12,584
444,Old,Female,Own,Married,Close,41600,0,NA,18,982
795,Old,Female,Rent,Single,Close,20100,0,Low,24,576
175,Middle,Male,Own,Single,Close,64000,3,Low,12,410
718,Middle,Female,Own,Married,Far,96800,3,NA,24,3082
586,Middle,Male,Rent,Married,Close,76200,1,NA,24,2437
1010,Old,Female,Rent,Married,Far,81500,0,High,18,3655
599,Middle,Female,Own,Single,Close,49600,1,Medium,12,844
527,Old,Female,Own,Married,Close,111500,0,High,18,2510
1168,Middle,Male,Own,Married,Close,77700,0,NA,6,983
949,Young,Male,Own,Married,Close,58900,0,NA,18,1215
220,Middle,Male,Own,Married,Close,126500,2,High,18,2000
857,Middle,Female,Own,Married,Close,83300,1,High,24,2574
269,Middle,Female,Own,Married,Close,90500,1,High,6,1116
1095,Middle,Female,Own,Married,Far,87200,0,High,18,3604
230,Middle,Female,Own,Married,Close,105300,1,NA,24,3360
903,Middle,Female,Own,Single,Far,56000,3,Medium,6,530
60,Middle,Female,Rent,Single,Close,46600,0,Medium,24,906
1086,Old,Male,Rent,Married,Close,69800,0,High,24,2764
1082,Middle,Male,Own,Single,Close,60300,0,High,24,1263
962,Young,Male,Rent,Married,Close,67800,0,High,12,1084
979,Middle,Male,Rent,Single,Close,42300,0,Medium,24,1051
1286,Young,Female,Own,Married,Far,33700,0,NA,6,614
391,Middle,Male,Own,Single,Close,62700,2,Medium,12,704
795,Young,Female,Own,Single,Close,25900,2,NA,12,449
209,Young,Female,Own,Single,Close,15600,1,Low,6,136
228,Old,Female,Own,Single,Close,14600,0,Low,24,468
1057,Old,Female,Own,Married,Close,62600,0,High,6,565
555,Young,Male,Rent,Married,Close,66700,0,NA,18,1310
40,Middle,Male,Own,Married,Far,72500,0,NA,24,2595
517,Young,Female,Rent,Single,Far,13200,0,NA,24,358
874,Middle,Female,Own,Single,Close,51300,0,Medium,24,1424
689,Middle,Male,Own,Single,Far,72300,0,High,24,4182
590,Young,Female,Rent,Single,Close,15600,0,NA,12,468
253,Middle,Female,Own,Married,Far,90400,1,High,18,2924
255,Middle,Male,Own,Single,Far,71500,0,NA,6,964
419,Young,Male,Rent,Single,Close,14400,0,NA,24,615
593,Young,Male,Rent,Single,Close,15000,3,Low,6,38
927,Middle,Male,Own,Single,Close,57600,1,NA,6,1006
1150,Young,Female,Rent,Married,Close,60600,3,Low,12,307
1012,Middle,Male,Own,Married,Far,84300,2,High,18,1648
991,Young,Female,Own,Single,Close,24400,1,Low,6,220
806,Young,Female,Rent,Single,Close,22100,2,Low,18,280
831,Middle,Male,Rent,Married,Far,48800,2,NA,12,1647
353,Middle,Female,Own,Married,Close,74700,1,Medium,6,704
1189,Young,Female,Rent,Single,Far,32400,1,Medium,24,920
833,Old,Female,Own,Single,Close,11400,0,NA,6,258
231,Middle,Male,Own,Married,Close,127000,0,NA,12,1821
676,Middle,Male,Rent,Single,Close,47200,0,Medium,18,1587
174,Middle,Female,Own,Single,Close,48700,2,Low,12,528
12,Young,Male,Rent,Single,Far,20400,0,Medium,18,867
1064,Middle,Male,Rent,Single,Close,39000,0,NA,6,643
120,Young,Female,Rent,Single,Close,12900,1,Low,6,107
70,Middle,Female,Rent,Married,Far,67300,1,High,18,1513
170,Old,Male,Own,Married,Close,134500,0,High,24,4558
552,Old,Male,Own,Married,Close,75500,0,High,6,741
581,Old,Female,Own,Married,Far,33600,2,Medium,12,805
499,Young,Female,Rent,Single,Close,16300,1,NA,12,470
370,Young,Male,Rent,Married,Close,27400,1,Low,6,278
885,Middle,Female,Own,Married,Close,110400,3,Low,24,1093
250,Young,Female,Rent,Single,Far,21100,1,Low,6,470
642,Middle,Male,Own,Married,Close,81200,0,High,24,1856
1072,Middle,Male,Rent,Married,Far,87100,2,High,18,1688
233,Young,Female,Rent,Single,Far,21700,3,NA,24,708
144,Middle,Female,Rent,Single,Close,42200,0,NA,18,1753
1157,Middle,Male,Rent,Single,Far,59000,0,High,24,3044
529,Middle,Female,Own,Single,Close,52700,2,Low,18,855
825,Young,Male,Own,Single,Close,20900,0,Low,24,550
541,Middle,Male,Own,Married,Far,90700,3,High,24,2265
531,Old,Female,Own,Married,Far,91800,0,NA,24,2452
71,Young,Female,Own,Single,Far,27900,0,Medium,18,1184
1014,Old,Female,Own,Married,Close,70700,0,High,24,2150
625,Middle,Male,Own,Married,Close,79600,2,NA,6,1575
1158,Middle,Male,Rent,Married,Close,96400,1,High,24,1822
843,Middle,Female,Own,Single,Close,46600,2,NA,18,1153
1278,Old,Male,Own,Married,Close,106600,0,High,12,1877
737,Middle,Female,Rent,Married,Close,104900,3,Low,6,450
74,Old,Male,Rent,Single,Close,56300,0,Medium,6,873
51,Young,Female,Rent,Single,Close,14800,1,Low,6,209
519,Old,Male,Own,Married,Close,58300,0,Medium,24,1472
1092,Middle,Male,Own,Single,Far,70200,0,High,12,1702
797,Old,Male,Own,Married,Far,59700,0,High,18,1857
1272,Young,Male,Rent,Single,Close,25800,0,NA,6,451
600,Young,Female,Rent,Single,Close,12000,0,Low,24,344
1245,Middle,Male,Rent,Single,Far,51900,0,High,18,1492
775,Middle,Female,Own,Single,Far,66800,3,NA,24,2098
684,Middle,Male,Own,Married,Close,105300,1,NA,18,3505
879,Young,Female,Rent,Single,Far,13800,3,Low,6,127
338,Young,Male,Rent,Single,Close,14800,3,NA,12,436
554,Middle,Female,Own,Married,Far,44200,0,High,24,2524
347,Young,Male,Rent,Single,Close,10400,0,NA,18,189
509,Middle,Female,Own,Single,Close,35200,0,Medium,12,607
657,Young,Female,Rent,Single,Far,16100,0,NA,6,202
211,Middle,Male,Own,Married,Close,113000,2,Medium,18,1554
1012,Middle,Male,Own,Married,Close,63300,2,NA,6,633
508,Young,Male,Rent,Single,Close,19100,0,NA,6,176
488,Middle,Female,Own,Married,Close,93400,2,NA,24,3079
696,Old,Female,Rent,Married,Far,52500,0,High,24,2038
662,Middle,Female,Rent,Married,Far,45400,3,Medium,24,1203
624,Young,Female,Own,Single,Far,21400,3,NA,6,326
414,Middle,Female,Own,Single,Close,53700,3,Low,12,235
404,Young,Female,Own,Married,Far,68000,0,High,24,3688
1034,Young,Male,Rent,Single,Close,17400,0,NA,12,332
680,Young,Female,Rent,Single,Close,14600,1,Low,6,143
122,Old,Female,Own,Married,Far,100100,0,High,12,3104
1269,Middle,Male,Own,Married,Far,103700,1,High,24,2339
712,Young,Female,Rent,Single,Far,10800,3,Low,6,123
991,Middle,Female,Own,Married,Close,81700,3,Low,24,879
1034,Old,Female,Rent,Single,Close,21400,0,Low,18,498
176,Old,Female,Own,Married,Close,114800,0,High,18,3596
1095,Old,Female,Own,Married,Far,67900,0,High,24,2925
771,Middle,Male,Own,Married,Close,53700,1,NA,12,1081
930,Young,Female,Rent,Single,Far,11400,3,NA,12,312
1265,Young,Male,Rent,Married,Close,34300,3,NA,12,1297
308,Young,Female,Rent,Single,Close,16400,1,Low,12,218
1024,Middle,Female,Own,Married,Far,109800,0,High,18,4279
705,Middle,Male,Own,Single,Close,64200,0,High,18,1642
1230,Young,Male,Rent,Single,Close,17000,0,NA,18,581
294,Middle,Female,Rent,Single,Close,41400,3,Low,6,223
1118,Middle,Female,Own,Single,Close,49100,2,Low,6,474
1042,Old,Female,Own,Single,Far,42600,0,High,24,1790
848,Young,Female,Rent,Single,Close,11900,1,Low,6,143
139,Middle,Male,Own,Married,Far,113600,2,High,18,3237
89,Middle,Male,Own,Single,Close,52900,1,NA,24,2316
648,Young,Female,Rent,Single,Close,14300,1,NA,18,458
1185,Young,Male,Rent,Single,Close,21000,0,Low,24,646
484,Middle,Male,Own,Single,Far,59600,2,Medium,18,1217
623,Middle,Female,Rent,Single,Close,39700,3,Low,12,238
231,Old,Male,Own,Married,Close,51200,0,Medium,12,1293
89,Middle,Female,Own,Married,Close,88200,0,NA,24,2749
869,Middle,Male,Own,Married,Far,122100,0,High,12,2408
15,Old,Female,Rent,Married,Close,84800,0,High,18,2624
865,Middle,Male,Own,Married,Far,140000,0,High,12,4894
521,Old,Female,Own,Single,Close,28500,0,Low,24,621
1101,Middle,Male,Rent,Single,Close,60300,0,High,6,701
897,Young,Female,Rent,Married,Far,51900,0,NA,6,780
1052,Middle,Male,Own,Single,Close,60200,0,Medium,12,1365
778,Middle,Male,Own,Married,Far,81200,0,High,12,2693
