Store Number,Service_Comp_Group,Fiscal_Month,Target
00000127,Services,"July, 2018",13
00000127,Services,"August, 2018",14
00000127,Services,"September, 2018",15
00000127,Services,"October, 2018",16
00000127,Services,"November, 2018",17
00000127,Services,"December, 2018",18
00000127,Services,"January, 2019",19
00000127,Services,"February, 2019",18
00000127,Services,"March, 2019",21
00000127,Services,"April, 2019",21
00000127,Services,"May, 2019",23
00000127,Services,"June, 2019",25
00000127,Support,"July, 2018",6
00000127,Support,"August, 2018",7
00000127,Support,"September, 2018",7
00000127,Support,"October, 2018",7
00000127,Support,"November, 2018",8
00000127,Support,"December, 2018",8
00000127,Support,"January, 2019",9
00000127,Support,"February, 2019",8
00000127,Support,"March, 2019",10
00000127,Support,"April, 2019",9
00000127,Support,"May, 2019",11
00000127,Support,"June, 2019",11
00000127,Products,"July, 2018",38
00000127,Products,"August, 2018",42
00000127,Products,"September, 2018",43
00000127,Products,"October, 2018",47
00000127,Products,"November, 2018",48
00000127,Products,"December, 2018",52
00000127,Products,"January, 2019",54
00000127,Products,"February, 2019",53
00000127,Products,"March, 2019",60
00000127,Products,"April, 2019",60
00000127,Products,"May, 2019",66
00000127,Products,"June, 2019",72
00303143,Services,"July, 2018",297
00303143,Services,"August, 2018",317
00303143,Services,"September, 2018",329
00303143,Services,"October, 2018",365
00303143,Services,"November, 2018",380
00303143,Services,"December, 2018",422
00303143,Services,"January, 2019",455
00303143,Services,"February, 2019",442
00303143,Services,"March, 2019",527
00303143,Services,"April, 2019",550
00303143,Services,"May, 2019",612
00303143,Services,"June, 2019",637
00303143,Support,"July, 2018",298
00303143,Support,"August, 2018",340
00303143,Support,"September, 2018",348
00303143,Support,"October, 2018",394
00303143,Support,"November, 2018",402
00303143,Support,"December, 2018",452
00303143,Support,"January, 2019",471
00303143,Support,"February, 2019",448
00303143,Support,"March, 2019",531
00303143,Support,"April, 2019",520
00303143,Support,"May, 2019",598
00303143,Support,"June, 2019",665
00303143,Products,"July, 2018",2954
00303143,Products,"August, 2018",3395
00303143,Products,"September, 2018",3472
00303143,Products,"October, 2018",3938
00303143,Products,"November, 2018",4004
00303143,Products,"December, 2018",4515
00303143,Products,"January, 2019",4691
00303143,Products,"February, 2019",4451
00303143,Products,"March, 2019",5264
00303143,Products,"April, 2019",5123
00303143,Products,"May, 2019",5921
