Store No,Opportunity Est Date,Product,Opportunity ID,Opportunity Name,Project_Status,Opportunity_Status, Opportunity Usage ,Opportunity Stage
28585106,28/06/2018,NULL,NU3256,default method for experimentation,Active,Completed,"4,095",Stage 4
63636160,29/11/2018,NULL,NU3257,Accuvate initial work,Active,In Progress,"40,950",Stage 2
30606604,31/05/2019,products: EAI,pr3258,Acceleration Transfer,Inactive,Completed,"1,000",Stage 1
54343604,02/02/2019,products: Datacenter Migration,pr3259,App production,Active,In Progress,"2,730",Stage 3
17676521,30/06/2018,products: Infrastructure Migration,pr3260,App Migration,Inactive,In Progress,"1,638",Stage 3
89393970,01/09/2019,products: Infrastructure Migration,pr3261,Manufacturing Images,Active,In Progress,"2,500",Stage 0
61010101,29/03/2018,products: Disaster Recovery,pr3262,respond to RFPA,Inactive,Completed,"8,223",Stage 3
27979953,30/04/2018,products: EAI,pr3263,Managed Disks,Active,In Progress,100,Stage 2
12828111,31/03/2019,products: Datacenter Migration,pr3264,Managed Disks,Active,Blocked,"5,000",Stage 3
24848112,31/07/2018,products: Azure Stack,pr3265,Achieve Storage,Active,In Progress,800,Stage 3
83232144,30/03/2018,products: EAI,pr3266,default method for experimentation,Inactive,In Progress,100,Stage 5
61818619,30/04/2018,products: Disaster Recovery,pr3267,Account set up,Active,Blocked,"1,706",Stage 0
34949522,25/02/2019,products: EAI,pr3268,App production,Inactive,In Progress,"10,000",Stage 4
48787522,30/04/2019,products: Infrastructure Migration,pr3269,Managed Disks,Active,In Progress,"27,300",Stage 0
127,31/08/2018,products: Disaster Recovery,pr3270,Manufacturing Images,Active,In Progress,"2,500",Stage 5
17474521,15/10/2018,products: Infrastructure Migration,pr3271,App Migration,Active,In Progress,"40,000",Stage 2
89393974,29/03/2018,products: Disaster Recovery,pr3272,phase of migration,Active,In Progress,273,Stage 5
55252101,07/10/2018,products: EAI,pr3273,default method for experimentation,Active,In Progress,"4,000",Stage 1
12727521,31/10/2017,products: Infrastructure Migration,pr3274,Account setup,Active,In Progress,"1,000",Stage 0
7272963,05/09/2018,products: Infrastructure Migration,pr3275,Managed Instance,Active,In Progress,500,Stage 5
8686141,06/05/2019,products: Infrastructure Migration,pr3276,Account set up,Inactive,In Progress,"8,389",Stage 3
82424111,31/07/2019,products: Infrastructure Migration,pr3277,Achieve Storage,Inactive,In Progress,"10,000",Stage 5
18484845,15/06/2018,products: EAI,pr3278,ACT Premium enabled,Inactive,In Progress,800,Stage 1
30606604,28/12/2018,products: Infrastructure Migration,pr3279,Managed Disks,Active,In Progress,"1,750",Stage 4
13737882,08/04/2019,products: EAI,pr3280,respond to RFPA,Inactive,Blocked,"1,000",Stage 2
12929521,29/06/2018,products: Infrastructure Migration,pr3281,App production,Inactive,Blocked,"5,000",Stage 2
37878111,01/09/2017,products: EAI,pr3282,Managed disks migration,Active,In Progress,"4,000",Stage 5
39898184,17/01/2019,products: EAI,pr3283,Acceleration Transfer,Inactive,In Progress,"8,560",Stage 3
92424523,31/05/2018,products: Infrastructure Migration,pr3284,Access to All users,Inactive,In Progress,"20,475",Stage 1
18080129,30/11/2017,products: Infrastructure Migration,pr3285,Client onboarding,Active,In Progress,"15,000",Stage 5
91313118,30/09/2018,products: High Performance Compute,pr3286,Acceleration Transfer,Inactive,Completed,"13,650",Stage 3
81313144,31/05/2018,products: Disaster Recovery,pr3287, Back Up And DR,Active,In Progress,"5,460",Stage 0
22525845,31/10/2018,products: Disaster Recovery,pr3288,Acceleration in Projects,Active,In Progress,"5,000",Stage 5
84242119,26/11/2018,products: Infrastructure Migration,pr3289,phase rollout,Inactive,Completed,500,Stage 0
86666127,31/10/2018,products: Infrastructure Migration,pr3290,Account set up,Active,In Progress,950,Stage 1
87373132,31/05/2018,products: Networking apps,pr3291,App Migration,Active,In Progress,"15,000",Stage 2
95656127,18/04/2018,products: Disaster Recovery,pr3292,Manufacturing Images,Inactive,Completed,"10,000",Stage 0
8383524,30/10/2018,products: Infrastructure Migration,pr3293,Access to All users,Inactive,In Progress,683,Stage 0
91111603,31/07/2020,products: Disaster Recovery,pr3294,Acceleration in Projects,Inactive,In Progress,"25,000",Stage 0
1515140,21/03/2018,products: Disaster Recovery,pr3295,Client onboarding,Active,Completed,"6,825",Stage 5
77272172,31/03/2019,products: EAI,pr3296,Managed Instance,Active,In Progress,"5,000",Stage 2
79292522,28/06/2019,products: Datacenter Migration,pr3297,Manufacturing Images,Active,In Progress,"20,000",Stage 1
8383524,06/05/2019,products: EAI,pr3298,App production,Inactive,In Progress,"7,000",Stage 5
57373109,08/01/2018,products: Disaster Recovery,pr3299,Managed Service ,Active,In Progress,"12,321",Stage 2
8686522,01/08/2019,products: Infrastructure Migration,pr3300,Account set up,-,-,"5,000",Stage 1
22626138,31/12/2018,products: Infrastructure Migration,pr3301,phase rollout,Inactive,Completed,"5,000",Stage 0
34343132,31/05/2018,products: Networking apps,pr3302,phase rollout,Active,In Progress,"2,000",Stage 4
30303520,04/03/2018,products: Infrastructure Migration,pr3303,App Migration,Inactive,Completed,"2,000",Stage 2
32626963,30/08/2018,products: EAI,pr3304,Client onboarding,Inactive,Completed,100,Stage 3
75252132,31/08/2019,products: Infrastructure Migration,pr3305,App Sprint,Active,In Progress,"34,125",Stage 4
93030968,22/01/2018,products: EAI,pr3306,Managed Instance,Inactive,Blocked,"1,000",Stage 4
