StoreNo,Month,Revenue Type,Revenue Motion,Product Category,Motion,  Revenue  
44646101,Jul-17,Actuals,Recurring,Service Products,Low Pot,2437
44646101,Jul-17,Actuals,Recurring,Support Blue,Low Pot,11
44646101,Aug-17,Actuals,Recurring,Service Products,Low Pot,2871
44646101,Aug-17,Actuals,Recurring,Support Blue,Low Pot,4
44646101,Sep-17,Actuals,Recurring,Service Products,Low Pot,2660
44646101,Oct-17,Actuals,Recurring,Service Products,Low Pot,2967
44646101,Nov-17,Actuals,Recurring,Service Products,Low Pot,3430
44646101,Dec-17,Actuals,Recurring,Service Products,Low Pot,3520
44646101,Jan-18,Actuals,Recurring,Service Products,Low Pot,3388
44646101,Feb-18,Actuals,Recurring,Service Products,Low Pot,2673
44646101,Mar-18,Actuals,Recurring,Service Products,Low Pot,2849
44646101,Apr-18,Actuals,Recurring,Service Products,Low Pot,2791
44646101,May-18,Actuals,Recurring,Service Products,Low Pot,2857
44646101,Jun-18,Actuals,Recurring,Service Products,Low Pot,2776
44646101,Jul-18,Actuals,Recurring,Service Products,Low Pot,2633
44646101,Aug-18,Actuals,Recurring,Service Products,Low Pot,2758
44646101,Sep-18,Actuals,Recurring,Service Products,Low Pot,2767
44646101,Oct-18,Actuals,Recurring,Service Products,Low Pot,2809
44646101,Nov-18,Actuals,Recurring,Service Products,Low Pot,2730
44646101,Dec-18,Actuals,Recurring,Service Products,Low Pot,2836
44646101,Jan-19,Actuals,Recurring,Service Products,Low Pot,2825
55252101,Jul-17,Actuals,Recurring,Service Licenses,High Potential,7864
55252101,Jul-17,Actuals,Recurring,Service Products,High Potential,98218
55252101,Jul-17,Actuals,Recurring,Product Green,High Potential,1613
55252101,Jul-17,Actuals,Recurring,Support Blue,High Potential,72
55252101,Jul-17,Actuals,Recurring,Service Licenses,High Potential,195
55252101,Jul-17,Actuals,Recurring,Service Products,High Potential,5313
55252101,Jul-17,Actuals,Recurring,Product Orange,High Potential,24608
55252101,Aug-17,Partner Fee,Not Recurring,Support Yellow,High Potential,1941
55252101,Aug-17,Actuals,Recurring,Service Licenses,High Potential,8063
55252101,Aug-17,Actuals,Recurring,Service Products,High Potential,94469
55252101,Aug-17,Actuals,Recurring,Product Green,High Potential,1503
55252101,Aug-17,Actuals,Recurring,Support Blue,High Potential,88
55252101,Aug-17,Actuals,Recurring,Service Licenses,High Potential,1031
55252101,Aug-17,Actuals,Recurring,Service Products,High Potential,4995
55252101,Aug-17,Actuals,Recurring,Product Orange,High Potential,33442
55252101,Sep-17,Registration Fee,Not Recurring,Support Yellow,High Potential,35402
55252101,Sep-17,Partner Fee,Not Recurring,Support Yellow,High Potential,1946
55252101,Sep-17,Actuals,Recurring,Service Licenses,High Potential,8113
55252101,Sep-17,Actuals,Recurring,Service Products,High Potential,90217
55252101,Sep-17,Actuals,Recurring,Product Green,High Potential,1501
55252101,Sep-17,Actuals,Recurring,Support Blue,High Potential,85
55252101,Sep-17,Actuals,Recurring,Service Licenses,High Potential,1820
55252101,Sep-17,Actuals,Recurring,Service Products,High Potential,4724
55252101,Sep-17,Actuals,Recurring,Product Orange,High Potential,45047
55252101,Oct-17,Partner Fee,Not Recurring,Support Yellow,High Potential,1891
55252101,Oct-17,Actuals,Recurring,Service Licenses,High Potential,8969
55252101,Oct-17,Actuals,Recurring,Service Products,High Potential,113937
55252101,Oct-17,Actuals,Recurring,Product Green,High Potential,1510
55252101,Oct-17,Actuals,Recurring,Support Blue,High Potential,87
55252101,Oct-17,Actuals,Recurring,Service Licenses,High Potential,3166
55252101,Oct-17,Actuals,Recurring,Service Products,High Potential,5769
55252101,Oct-17,Actuals,Recurring,Product Orange,High Potential,50721
55252101,Nov-17,Partner Fee,Not Recurring,Support Yellow,High Potential,2048
